lyhenne;tieteellinen;suomalainen;ruotsalainen
CYGSP;Cygnus sp;joutsenlaji;Cygnus (släktet)
CYGOLO;Cygnus olor;kyhmyjoutsen;knölsvan
CYGATR;Cygnus atratus;mustajoutsen;svart svan
CYGCOL;Cygnus columbianus;pikkujoutsen;mindre sångsvan
CYGCOLBEW;Cygnus columbianus bewickii;pikkujoutsen (alalaji bewickii);mindre sångsvan (rasen bewickii)
CYGCOLCOL;Cygnus columbianus columbianus;pikkujoutsen (alalaji columbianus);mindre sångsvan (rasen columbianus)
CYGCOL/CYGCYG;Cygnus columbianus / Cygnus cygnus;pikkujoutsen / laulujoutsen;mindre sångsvan / sångsvan
CYGCYG;Cygnus cygnus;laulujoutsen;sångsvan
ANS/BRA;Anser / Branta;hanhi;ob. gås
ANSSP;Anser sp;harmaahanhilaji;Anser (släktet)
ANSFAB;Anser fabalis;metsähanhi;sädgås
ANSFABFAB;Anser fabalis fabalis;taigametsähanhi;sädgås (rasen fabalis)
ANSFABROS;Anser fabalis rossicus;tundrametsähanhi;sädgås (rasen rossicus)
ANSFABXANSALB;Anser fabalis x Anser albifrons;metsähanhi x tundrahanhi;sädgås x bläsgås
ANSBRA;Anser brachyrhynchus;lyhytnokkahanhi;spetsbergsgås
ANSALB;Anser albifrons;tundrahanhi;bläsgås
ANSALBALB;Anser albifrons albifrons;tundrahanhi (alalaji albifrons);bläsgås (rasen albifrons)
ANSALBFLA;Anser albifrons flavirostris;tundrahanhi (alalaji flavirostris);bläsgås (rasen flavirostris)
ANSALB/ANSERY;Anser albifrons / Anser erythropus;tundrahanhi / kiljuhanhi;bläsgås / fjällgås
ANSALBXANSERY;Anser albifrons X Anser erythropus;tundrahanhi X kiljuhanhi;bläsgås X fjällgås
ANSALBXANSANS;Anser albifrons X Anser anser;tundrahanhi X merihanhi;bläsgås X grågås
ANSERY;Anser erythropus;kiljuhanhi;fjällgås
ANSERYXBRALEU;Anser erythropus x Branta leucopsis;kiljuhanhi x valkoposkihanhi;fjällgås x vitkindad gås
ANSANS;Anser anser;merihanhi;grågås
ANSANSXBRACAN;Anser anser X Branta canadensis;merihanhi X kanadanhanhi;grågås X kanadagås
ANSANSXBRALEU;Anser anser X Branta leucopsis;merihanhi X valkoposkihanhi;grågås X vitkindad gås
ANSIND;Anser indicus;tiibetinhanhi;stripgås
ANSINDXBRALEU;Anser indicus X Branta leucopsis;tiibetinhanhi X valkoposkihanhi;stripgås X vitkindad gås
ANSCAE;Anser caerulescens;lumihanhi;snögås
ANSCAEATL;Anser caerulescens atlanticus;Lumihanhi (alalaji atlanticus);snögås (rasen atlanticus)
ANSCAEXBRALEU;Anser caerulescens x Branta leucopsis;lumihanhi x valkoposkihanhi;snögås x vitkindad gås
