lyhenne;tieteellinen;suomalainen;ruotsalainen
ACCGEN;Accipiter gentilis;kanahaukka;duvhök
ACCNIS;Accipiter nisus;varpushaukka;sparvhök
ACRAGR;Acrocephalus agricola;kenttäkerttunen;fältsångare
ACRARU;Acrocephalus arundinaceus;rastaskerttunen;trastsångare
ACRDUM;Acrocephalus dumetorum;viitakerttunen;busksångare
ACROLA;Acrocephalus paludicola;sarakerttunen;vattensångare
ACRRIS;Acrocephalus palustris;luhtakerttunen;kärrsångare
ACRSCH;Acrocephalus schoenobaenus;ruokokerttunen;sävsångare
ACRSCI;Acrocephalus scirpaceus;rytikerttunen;rörsångare
ACTHYP;Actitis hypoleucos;rantasipi;drillsnäppa
ACTMAC;Actitis macularius;amerikansipi;fläckdrillsnäppa
AEGCAU;Aegithalos caudatus;pyrstötiainen;stjärtmes
AEGFUN;Aegolius funereus;helmipöllö;pärluggla
AEGMON;Aegypius monachus;munkkikorppikotka;grågam
AIXGAL;Aix galericulata;mandariinisorsa;mandarinand
AIXSPO;Aix sponsa;morsiosorsa;brudand
ALAARV;Alauda arvensis;kiuru;sånglärka
ALCATT;Alcedo atthis;kuningaskalastaja;kungsfiskare
ALCTOR;Alca torda;ruokki;tordmule
ALLALL;Alle alle;pikkuruokki;alkekung
ANAACU;Anas acuta;jouhisorsa;stjärtand
ANAAME;Anas americana;amerikanhaapana;amerikansk bläsand
ANABAH;Anas bahamensis;valkoposkisorsa;bahamaand
ANACAR;Anas carolinensis;amerikantavi;amerikansk kricka
ANACLY;Anas clypeata;lapasorsa;skedand
ANACRE;Anas crecca;tavi;kricka
ANACYA;Anas cyanoptera;punatavi;kanelårta
ANADIS;Anas discors;sinisiipitavi;blåvingad årta
ANAFAL;Anas falcata;sirppisorsa;praktand
ANAFOR;Anas formosa;siperiantavi;gulkindad kricka
ANAPEN;Anas penelope;haapana;bläsand
ANAPLA;Anas platyrhynchos;sinisorsa;gräsand
ANAQUE;Anas querquedula;heinätavi;Årta
ANARUB;Anas rubripes;nokisorsa;svartand
ANASTR;Anas strepera;harmaasorsa;snatterand
ANS/BRA;Anser / Branta;hanhi;ob. gås
ANSALB;Anser albifrons;tundrahanhi;bläsgås
ANSANS;Anser anser;merihanhi;grågås
ANSBRA;Anser brachyrhynchus;lyhytnokkahanhi;spetsbergsgås
ANSCAE;Anser caerulescens;lumihanhi;snögås
ANSERY;Anser erythropus;kiljuhanhi;fjällgås
ANSFAB;Anser fabalis;metsähanhi;sädgås
ANSFABFAB;Anser fabalis fabalis;taigametsähanhi;sädgås (rasen fabalis)
ANSFABROS;Anser fabalis rossicus;tundrametsähanhi;sädgås (rasen rossicus)
ANSIND;Anser indicus;tiibetinhanhi;stripgås
ANTCAM;Anthus campestris;nummikirvinen;fältpiplärka
ANTCER;Anthus cervinus;lapinkirvinen;rödstrupig piplärka
ANTGOD;Anthus godlewskii;mongoliankirvinen;mongolpiplärka
ANTGUS;Anthus gustavi;tundrakirvinen;tundrapiplärka
ANTHOD;Anthus hodgsoni;taigakirvinen;sibirisk piplärka
ANTPET;Anthus petrosus;luotokirvinen;skärpiplärka
ANTPRA;Anthus pratensis;niittykirvinen;ängspiplärka
ANTRIC;Anthus richardi;isokirvinen;större piplärka
ANTTRI;Anthus trivialis;metsäkirvinen;trädpiplärka
APUAPU;Apus apus;tervapääsky;tornseglare
AQUCHR;Aquila chrysaetos;maakotka;kungsörn
AQUCLA;Aquila clanga;kiljukotka;större skrikörn
AQUHEL;Aquila heliaca;keisarikotka;kejsarörn
AQUNIP;Aquila nipalensis;arokotka;stäppörn
AQUPEN;Aquila pennata;pikkukotka;dvärgörn
AQUPOM;Aquila pomarina;pikkukiljukotka;mindre skrikörn
ARDCIN;Ardea cinerea;harmaahaikara;gråhäger
AREINT;Arenaria interpres;karikukko;roskarl
ASIFLA;Asio flammeus;suopöllö;jorduggla
ASIOTU;Asio otus;sarvipöllö;hornuggla
ATHNOC;Athene noctua;minervanpöllö;minervauggla
AYTFER;Aythya ferina;punasotka;brunand
AYTFUL;Aythya fuligula;tukkasotka;vigg
AYTMAR;Aythya marila;lapasotka;bergand
AYTNYR;Aythya nyroca;ruskosotka;vitögd dykand
BOMGAR;Bombycilla garrulus;tilhi;sidensvans
BOTSTE;Botaurus stellaris;kaulushaikara;rördrom
BRABER;Branta bernicla;sepelhanhi;prutgås
BRACAN;Branta canadensis;kanadanhanhi;kanadagås
BRALEU;Branta leucopsis;valkoposkihanhi;vitkindad gås
BRARUF;Branta ruficollis;punakaulahanhi;rödhalsad gås
BUBBUB;Bubo bubo;huuhkaja;berguv
BUBSCA;Bubo scandiacus;tunturipöllö;fjälluggla
BUCCLA;Bucephala clangula;telkkä;knipa
BUTBUT;Buteo buteo;hiirihaukka;ormvråk
BUTLAG;Buteo lagopus;piekana;fjällvråk
BUTRUF;Buteo rufinus;arohiirihaukka;örnvråk
CALACU;Calidris acuminata;suippopyrstösirri;spetsstjärtad snäppa
CALALB;Calidris alba;pulmussirri;sandlöpare
CALALP;Calidris alpina;suosirri;kärrsnäppa
CALALPSCH;Calidris alpina schinzii;etelänsuosirri;kärrsnäppa (rasen schinzii)
CALBRA;Calandrella brachydactyla;lyhytvarvaskiuru;korttålärka
CALCAN;Calidris canutus;isosirri;kustsnäppa
CALENS;Calandrella rufescens;pikkukiuru;dvärglärka
CALFER;Calidris ferruginea;kuovisirri;spovsnäppa
CALFUS;Calidris fuscicollis;valkoperäsirri;vitgumpsnäppa
CALHIM;Calidris himantopus;pitkäkoipisirri;styltsnäppa
CALLAP;Calcarius lapponicus;lapinsirkku;lappsparv
CALLIS;Calidris ruficollis;rusokaulasirri;rödhalsad snäppa
CALLLA;Calidris minutilla;amerikansirri;dvärgsnäppa
CALMAR;Calidris maritima;merisirri;skärsnäppa
CALMEL;Calidris melanotos;palsasirri;tuvsnäppa
CALSUB;Calidris subminuta;siperiansirri;långtåsnäppa
CALTEM;Calidris temminckii;lapinsirri;mosnäppa
CALUTA;Calidris minuta;pikkusirri;småsnäppa
CAPEUR;Caprimulgus europaeus;kehrääjä;nattskärra
CARCAN;Carduelis cannabina;hemppo;hämpling
CARCAR;Carduelis carduelis;tikli;steglits
CARCHL;Carduelis chloris;viherpeippo;grönfink
CARERY;Carpodacus erythrinus;punavarpunen;rosenfink
CARHOR;Carduelis hornemanni;tundraurpiainen;snösiska
CARMEA;Carduelis flammea;urpiainen;gråsiska
CARRIS;Carduelis flavirostris;vuorihemppo;vinterhämpling
CARSP;Carduelis sp;tiklilaji;Carduelis (släktet)
CARSPI;Carduelis spinus;vihervarpunen;grönsiska
CEPGRY;Cepphus grylle;riskilä;tobisgrissla
CERFAM;Certhia familiaris;puukiipijä;trädkrypare
CERGAL;Cercotrichas galactotes;ruostepyrstö;trädnäktergal
CHAALE;Charadrius alexandrinus;mustajalkatylli;svartbent strandpipare
CHAASI;Charadrius asiaticus;kaspiantylli;kaspisk pipare
CHADUB;Charadrius dubius;pikkutylli;mindre strandpipare
CHAHIA;Charadrius hiaticula;tylli;större strandpipare
CHALES;Charadrius leschenaultii;aavikkotylli;ökenpipare
CHAMON;Charadrius mongolus;ylänkötylli;mongolpipare
CHAMOR;Charadrius morinellus;keräkurmitsa;fjällpipare
